CET,AT-day_ahead_Solar,AT-day_ahead_Wind Onshore,BE-day_ahead_Solar,BE-day_ahead_Wind Offshore,BE-day_ahead_Wind Onshore,BG-day_ahead_Solar,BG-day_ahead_Wind Onshore,CZ-day_ahead_Solar,DE_LU-day_ahead_Solar,DE_LU-day_ahead_Wind Offshore,DE_LU-day_ahead_Wind Onshore,DK_1-day_ahead_Solar,DK_1-day_ahead_Wind Offshore,DK_1-day_ahead_Wind Onshore,DK_2-day_ahead_Solar,DK_2-day_ahead_Wind Offshore,DK_2-day_ahead_Wind Onshore,EE-day_ahead_Solar,EE-day_ahead_Wind Onshore,ES-day_ahead_Solar,ES-day_ahead_Wind Onshore,FI-day_ahead_Solar,FI-day_ahead_Wind Onshore,FR-day_ahead_Solar,FR-day_ahead_Wind Onshore,GR-day_ahead_Solar,GR-day_ahead_Wind Onshore,HR-day_ahead_Solar,HR-day_ahead_Wind Onshore,HU-day_ahead_Solar,HU-day_ahead_Wind Onshore,IT_CALA-day_ahead_Solar,IT_CALA-day_ahead_Wind Onshore,IT_CNOR-day_ahead_Solar,IT_CNOR-day_ahead_Wind Onshore,IT_CSUD-day_ahead_Solar,IT_CSUD-day_ahead_Wind Onshore,IT_NORD-day_ahead_Solar,IT_NORD-day_ahead_Wind Onshore,IT_SARD-day_ahead_Solar,IT_SARD-day_ahead_Wind Onshore,IT_SICI-day_ahead_Solar,IT_SICI-day_ahead_Wind Onshore,IT_SUD-day_ahead_Solar,IT_SUD-day_ahead_Wind Onshore,LT-day_ahead_Solar,LT-day_ahead_Wind Onshore,LV-day_ahead_Wind Onshore,NL-day_ahead_Solar,NL-day_ahead_Wind Offshore,NL-day_ahead_Wind Onshore,NO_1-day_ahead_Solar,NO_1-day_ahead_Wind Offshore,NO_1-day_ahead_Wind Onshore,NO_2-day_ahead_Solar,NO_2-day_ahead_Wind Offshore,NO_2-day_ahead_Wind Onshore,NO_3-day_ahead_Solar,NO_3-day_ahead_Wind Offshore,NO_3-day_ahead_Wind Onshore,NO_4-day_ahead_Solar,NO_4-day_ahead_Wind Offshore,NO_4-day_ahead_Wind Onshore,NO_5-day_ahead_Solar,NO_5-day_ahead_Wind Offshore,NO_5-day_ahead_Wind Onshore,PL-day_ahead_Solar,PL-day_ahead_Wind Onshore,PT-day_ahead_Solar,PT-day_ahead_Wind Offshore,PT-day_ahead_Wind Onshore,RO-day_ahead_Solar,RO-day_ahead_Wind Onshore,SE_1-day_ahead_Solar,SE_1-day_ahead_Wind Onshore,SE_2-day_ahead_Solar,SE_2-day_ahead_Wind Onshore,SE_3-day_ahead_Solar,SE_3-day_ahead_Wind Onshore,SE_4-day_ahead_Solar,SE_4-day_ahead_Wind Onshore,SI-day_ahead_Solar,SK-day_ahead_Solar,SK-day_ahead_Wind Onshore
2022-10-01 03:00:00+02:00,0.0,200.0,0.0,1911.0,1765.0,0.0,11.0,0.0,0.0,5544.0,24831.0,0.0,1049.0,2164.0,0.0,247.0,284.0,0.0,30.0,84.0,3333.0,0.0,155.0,0.0,13133.0,0.0,336.0,0.0,567.0,0.0,20.0,0.0,120.0,0.0,7.0,0.0,434.0,0.0,1.0,0.0,168.0,0.0,234.0,0.0,843.0,0.0,50.0,26.0,0.0,1566.0,5397.0,0.0,,246.0,0.0,,1269.0,0.0,,1532.0,0.0,,273.0,0.0,,0.0,0.0,1673.0,0.0,1.0,431.0,2.0,290.0,0.0,97.0,0.0,1542.0,0.0,1182.0,0.0,681.0,0.0,0.0,1.0
2022-10-01 03:15:00+02:00,0.0,196.0,,,,,,,0.0,5532.0,25071.0,,,,,,,,,74.0,3324.0,,,,,,,,,0.0,19.0,,,,,,,,,,,,,,,,,,0.0,1560.0,5348.0,,,,,,,,,,,,,,,,,,,,,2.0,290.0,,,,,,,,,,,
2022-10-01 03:30:00+02:00,0.0,192.0,,,,,,,0.0,5528.0,25407.0,,,,,,,,,68.0,3346.0,,,,,,,,,0.0,18.0,,,,,,,,,,,,,,,,,,0.0,1558.0,5286.0,,,,,,,,,,,,,,,,,,,,,2.0,290.0,,,,,,,,,,,
2022-10-01 03:45:00+02:00,0.0,188.0,,,,,,,0.0,5520.0,25783.0,,,,,,,,,63.0,3385.0,,,,,,,,,0.0,18.0,,,,,,,,,,,,,,,,,,0.0,1555.0,5225.0,,,,,,,,,,,,,,,,,,,,,2.0,290.0,,,,,,,,,,,
2022-10-01 04:00:00+02:00,0.0,184.0,0.0,1793.0,1690.0,0.0,16.0,0.0,0.0,5496.0,25993.0,0.0,1028.0,2249.0,0.0,269.0,312.0,0.0,36.0,61.0,3467.0,0.0,193.0,0.0,13039.0,0.0,348.0,0.0,547.0,0.0,17.0,0.0,89.0,0.0,8.0,0.0,536.0,0.0,0.0,0.0,158.0,0.0,262.0,0.0,924.0,0.0,49.0,22.0,0.0,1552.0,5162.0,0.0,,246.0,0.0,,1234.0,0.0,,1509.0,0.0,,296.0,0.0,,0.0,0.0,1751.0,0.0,1.0,344.0,2.0,270.0,0.0,111.0,0.0,1629.0,0.0,1207.0,0.0,730.0,0.0,0.0,1.0
2022-10-01 04:15:00+02:00,0.0,176.0,,,,,,,0.0,5439.0,26469.0,,,,,,,,,57.0,3486.0,,,,,,,,,0.0,17.0,,,,,,,,,,,,,,,,,,0.0,1546.0,5089.0,,,,,,,,,,,,,,,,,,,,,2.0,270.0,,,,,,,,,,,
2022-10-01 04:30:00+02:00,0.0,168.0,,,,,,,0.0,5362.0,26946.0,,,,,,,,,52.0,3472.0,,,,,,,,,0.0,17.0,,,,,,,,,,,,,,,,,,0.0,1537.0,5009.0,,,,,,,,,,,,,,,,,,,,,2.0,270.0,,,,,,,,,,,
2022-10-01 04:45:00+02:00,0.0,160.0,,,,,,,0.0,5319.0,27409.0,,,,,,,,,47.0,3435.0,,,,,,,,,0.0,16.0,,,,,,,,,,,,,,,,,,0.0,1527.0,4927.0,,,,,,,,,,,,,,,,,,,,,2.0,270.0,,,,,,,,,,,
2022-10-01 05:00:00+02:00,0.0,156.0,0.0,1653.0,1554.0,0.0,26.0,0.0,0.0,5274.0,27855.0,0.0,1044.0,2364.0,0.0,275.0,339.0,0.0,26.0,41.0,3369.0,0.0,248.0,0.0,12947.0,0.0,362.0,0.0,507.0,0.0,16.0,0.0,66.0,0.0,10.0,0.0,432.0,0.0,0.0,0.0,157.0,0.0,248.0,0.0,877.0,0.0,51.0,21.0,0.0,1518.0,4845.0,0.0,,248.0,0.0,,1153.0,0.0,,1506.0,0.0,,318.0,0.0,,0.0,0.0,1840.0,0.0,1.0,278.0,3.0,244.0,0.0,124.0,0.0,1723.0,0.0,1254.0,0.0,781.0,0.0,0.0,1.0
2022-10-01 05:15:00+02:00,0.0,148.0,,,,,,,0.0,5096.0,28220.0,,,,,,,,,37.0,3336.0,,,,,,,,,0.0,15.0,,,,,,,,,,,,,,,,,,0.0,1503.0,4721.0,,,,,,,,,,,,,,,,,,,,,4.0,244.0,,,,,,,,,,,
2022-10-01 05:30:00+02:00,0.0,144.0,,,,,,,0.0,5018.0,28565.0,,,,,,,,,34.0,3324.0,,,,,,,,,0.0,14.0,,,,,,,,,,,,,,,,,,0.0,1482.0,4555.0,,,,,,,,,,,,,,,,,,,,,4.0,243.0,,,,,,,,,,,
2022-10-01 05:45:00+02:00,0.0,136.0,,,,,,,0.0,4927.0,28889.0,,,,,,,,,32.0,3328.0,,,,,,,,,0.0,13.0,,,,,,,,,,,,,,,,,,0.0,1461.0,4385.0,,,,,,,,,,,,,,,,,,,,,4.0,243.0,,,,,,,,,,,
2022-10-01 06:00:00+02:00,0.0,132.0,0.0,1695.0,1368.0,6.0,45.0,3.0,0.0,4779.0,29985.0,0.0,1067.0,2441.0,0.0,255.0,368.0,3.0,40.0,33.0,3345.0,0.0,324.0,0.0,12290.0,41.0,387.0,0.0,462.0,1.0,12.0,0.0,50.0,0.0,8.0,0.0,401.0,0.0,1.0,0.0,184.0,0.0,258.0,0.0,830.0,1.0,59.0,27.0,0.0,1440.0,4222.0,0.0,,257.0,0.0,,928.0,0.0,,1500.0,0.0,,333.0,0.0,,0.0,5.0,1902.0,0.0,1.0,232.0,18.0,214.0,0.0,144.0,0.0,1811.0,0.0,1291.0,0.0,822.0,0.0,0.0,1.0
2022-10-01 06:15:00+02:00,0.0,128.0,,,,,,,0.0,4692.0,30191.0,,,,,,,,,29.0,3360.0,,,,,,,,,1.0,12.0,,,,,,,,,,,,,,,,,,0.0,1414.0,4032.0,,,,,,,,,,,,,,,,,,,,,20.0,214.0,,,,,,,,,,,
2022-10-01 06:30:00+02:00,0.0,128.0,,,,,,,0.0,4604.0,30393.0,,,,,,,,,23.0,3368.0,,,,,,,,,3.0,11.0,,,,,,,,,,,,,,,,,,0.0,1382.0,3820.0,,,,,,,,,,,,,,,,,,,,,23.0,214.0,,,,,,,,,,,
2022-10-01 06:45:00+02:00,0.0,124.0,,,,,,,0.0,4504.0,30520.0,,,,,,,,,17.0,3367.0,,,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,0.0,1350.0,3606.0,,,,,,,,,,,,,,,,,,,,,29.0,213.0,,,,,,,,,,,
2022-10-01 07:00:00+02:00,16.0,124.0,4.0,1842.0,1170.0,136.0,71.0,50.0,21.0,4400.0,30782.0,1.0,980.0,2254.0,2.0,247.0,354.0,25.0,42.0,9.0,3384.0,22.0,405.0,0.0,11632.0,405.0,409.0,4.0,397.0,29.0,11.0,10.0,46.0,17.0,5.0,35.0,362.0,14.0,1.0,5.0,201.0,24.0,276.0,63.0,732.0,8.0,61.0,20.0,0.0,1318.0,3394.0,0.0,,245.0,0.0,,702.0,0.0,,1482.0,0.0,,326.0,0.0,,0.0,616.0,1886.0,0.0,0.0,207.0,137.0,174.0,0.0,174.0,0.0,1870.0,3.0,1310.0,2.0,851.0,4.0,15.0,1.0
2022-10-01 07:15:00+02:00,24.0,128.0,,,,,,,127.0,4308.0,30916.0,,,,,,,,,10.0,3354.0,,,,,,,,,55.0,10.0,,,,,,,,,,,,,,,,,,0.0,1278.0,3174.0,,,,,,,,,,,,,,,,,,,,,148.0,173.0,,,,,,,,,,,
2022-10-01 07:30:00+02:00,28.0,128.0,,,,,,,355.0,4197.0,30969.0,,,,,,,,,15.0,3306.0,,,,,,,,,87.0,10.0,,,,,,,,,,,,,,,,,,0.0,1229.0,2945.0,,,,,,,,,,,,,,,,,,,,,161.0,173.0,,,,,,,,,,,
2022-10-01 07:45:00+02:00,36.0,128.0,,,,,,,607.0,4099.0,31090.0,,,,,,,,,29.0,3246.0,,,,,,,,,125.0,10.0,,,,,,,,,,,,,,,,,,1.0,1181.0,2714.0,,,,,,,,,,,,,,,,,,,,,172.0,173.0,,,,,,,,,,,
2022-10-01 08:00:00+02:00,48.0,132.0,226.0,1994.0,993.0,321.0,66.0,153.0,962.0,3930.0,31107.0,22.0,807.0,1817.0,13.0,246.0,338.0,61.0,43.0,285.0,3184.0,56.0,452.0,2.0,10974.0,1100.0,411.0,10.0,343.0,168.0,10.0,44.0,43.0,125.0,6.0,249.0,314.0,378.0,1.0,133.0,225.0,166.0,267.0,294.0,606.0,24.0,67.0,13.0,2.0,1133.0,2486.0,0.0,,258.0,0.0,,498.0,0.0,,1463.0,0.0,,329.0,0.0,,0.0,2021.0,1871.0,19.0,0.0,183.0,320.0,129.0,0.0,186.0,0.0,1833.0,21.0,1266.0,13.0,841.0,20.0,40.0,1.0
2022-10-01 08:15:00+02:00,68.0,140.0,,,,,,,1409.0,3850.0,30769.0,,,,,,,,,615.0,3117.0,,,,,,,,,217.0,10.0,,,,,,,,,,,,,,,,,,158.0,1116.0,2375.0,,,,,,,,,,,,,,,,,,,,,335.0,129.0,,,,,,,,,,,
2022-10-01 08:30:00+02:00,100.0,144.0,,,,,,,1909.0,3826.0,30450.0,,,,,,,,,1130.0,3052.0,,,,,,,,,271.0,10.0,,,,,,,,,,,,,,,,,,311.0,1131.0,2377.0,,,,,,,,,,,,,,,,,,,,,347.0,129.0,,,,,,,,,,,
2022-10-01 08:45:00+02:00,128.0,148.0,,,,,,,2412.0,3732.0,30127.0,,,,,,,,,1797.0,2983.0,,,,,,,,,328.0,10.0,,,,,,,,,,,,,,,,,,467.0,1146.0,2387.0,,,,,,,,,,,,,,,,,,,,,359.0,129.0,,,,,,,,,,,
2022-10-01 09:00:00+02:00,160.0,152.0,810.0,2057.0,886.0,468.0,77.0,353.0,2911.0,3638.0,29787.0,67.0,764.0,1659.0,25.0,252.0,406.0,96.0,39.0,3756.0,2951.0,90.0,389.0,764.0,10384.0,1752.0,431.0,19.0,318.0,389.0,10.0,83.0,23.0,302.0,6.0,573.0,303.0,1019.0,1.0,330.0,274.0,372.0,268.0,623.0,497.0,39.0,51.0,12.0,622.0,1161.0,2390.0,0.0,,256.0,0.0,,254.0,0.0,,1412.0,0.0,,316.0,0.0,,0.0,3547.0,1658.0,265.0,0.0,167.0,491.0,106.0,0.0,189.0,1.0,1769.0,55.0,1172.0,34.0,810.0,49.0,55.0,1.0
2022-10-01 09:15:00+02:00,196.0,152.0,,,,,,,3411.0,3639.0,29417.0,,,,,,,,,4911.0,2841.0,,,,,,,,,458.0,10.0,,,,,,,,,,,,,,,,,,862.0,1175.0,2395.0,,,,,,,,,,,,,,,,,,,,,501.0,106.0,,,,,,,,,,,
2022-10-01 09:30:00+02:00,232.0,148.0,,,,,,,3879.0,3643.0,29051.0,,,,,,,,,6010.0,2702.0,,,,,,,,,529.0,10.0,,,,,,,,,,,,,,,,,,1105.0,1189.0,2400.0,,,,,,,,,,,,,,,,,,,,,511.0,106.0,,,,,,,,,,,
2022-10-01 09:45:00+02:00,268.0,148.0,,,,,,,4318.0,3646.0,28706.0,,,,,,,,,7016.0,2556.0,,,,,,,,,595.0,9.0,,,,,,,,,,,,,,,,,,1345.0,1202.0,2403.0,,,,,,,,,,,,,,,,,,,,,520.0,106.0,,,,,,,,,,,
2022-10-01 10:00:00+02:00,312.0,148.0,1493.0,2064.0,857.0,560.0,79.0,502.0,4704.0,3667.0,28368.0,129.0,697.0,1412.0,34.0,253.0,448.0,119.0,37.0,8670.0,2340.0,119.0,341.0,2503.0,9794.0,2205.0,501.0,30.0,298.0,653.0,9.0,119.0,18.0,486.0,10.0,945.0,306.0,1786.0,2.0,489.0,416.0,518.0,275.0,926.0,434.0,54.0,31.0,8.0,1586.0,1216.0,2410.0,0.0,,250.0,0.0,,134.0,0.0,,1330.0,0.0,,298.0,0.0,,0.0,4414.0,1414.0,671.0,0.0,143.0,583.0,130.0,0.0,203.0,2.0,1722.0,90.0,1111.0,51.0,814.0,69.0,65.0,1.0
2022-10-01 10:15:00+02:00,356.0,152.0,,,,,,,5060.0,3682.0,28023.0,,,,,,,,,9534.0,2265.0,,,,,,,,,705.0,10.0,,,,,,,,,,,,,,,,,,1797.0,1227.0,2418.0,,,,,,,,,,,,,,,,,,,,,590.0,130.0,,,,,,,,,,,
2022-10-01 10:30:00+02:00,388.0,152.0,,,,,,,5392.0,3688.0,27668.0,,,,,,,,,10232.0,2254.0,,,,,,,,,752.0,10.0,,,,,,,,,,,,,,,,,,2006.0,1237.0,2429.0,,,,,,,,,,,,,,,,,,,,,596.0,130.0,,,,,,,,,,,
2022-10-01 10:45:00+02:00,408.0,156.0,,,,,,,5734.0,3703.0,27303.0,,,,,,,,,10780.0,2293.0,,,,,,,,,791.0,11.0,,,,,,,,,,,,,,,,,,2217.0,1247.0,2442.0,,,,,,,,,,,,,,,,,,,,,600.0,131.0,,,,,,,,,,,
2022-10-01 11:00:00+02:00,436.0,156.0,1927.0,2058.0,921.0,575.0,78.0,547.0,6055.0,3711.0,26931.0,215.0,709.0,1114.0,39.0,251.0,419.0,131.0,38.0,11536.0,2365.0,132.0,371.0,3978.0,9205.0,2470.0,630.0,38.0,302.0,820.0,11.0,147.0,20.0,612.0,15.0,1204.0,379.0,2354.0,4.0,523.0,508.0,492.0,204.0,1140.0,485.0,68.0,32.0,13.0,2425.0,1256.0,2452.0,0.0,,228.0,0.0,,128.0,0.0,,1227.0,0.0,,293.0,0.0,,0.0,4755.0,1523.0,991.0,0.0,126.0,629.0,213.0,1.0,248.0,4.0,1686.0,119.0,1127.0,55.0,858.0,77.0,70.0,1.0
2022-10-01 11:15:00+02:00,468.0,160.0,,,,,,,6294.0,3746.0,26718.0,,,,,,,,,11895.0,2429.0,,,,,,,,,838.0,12.0,,,,,,,,,,,,,,,,,,2658.0,1268.0,2483.0,,,,,,,,,,,,,,,,,,,,,630.0,213.0,,,,,,,,,,,
2022-10-01 11:30:00+02:00,480.0,164.0,,,,,,,6546.0,3777.0,26503.0,,,,,,,,,12167.0,2475.0,,,,,,,,,849.0,13.0,,,,,,,,,,,,,,,,,,2889.0,1284.0,2529.0,,,,,,,,,,,,,,,,,,,,,631.0,214.0,,,,,,,,,,,
2022-10-01 11:45:00+02:00,484.0,164.0,,,,,,,6733.0,3790.0,26285.0,,,,,,,,,12367.0,2506.0,,,,,,,,,855.0,13.0,,,,,,,,,,,,,,,,,,3123.0,1299.0,2575.0,,,,,,,,,,,,,,,,,,,,,632.0,214.0,,,,,,,,,,,
2022-10-01 12:00:00+02:00,464.0,168.0,2155.0,2032.0,965.0,563.0,62.0,541.0,6922.0,3823.0,26097.0,288.0,732.0,913.0,39.0,259.0,384.0,131.0,37.0,12583.0,2527.0,128.0,412.0,5128.0,9324.0,2525.0,787.0,41.0,306.0,857.0,13.0,163.0,42.0,684.0,20.0,1439.0,544.0,2720.0,7.0,559.0,565.0,470.0,202.0,1347.0,572.0,82.0,37.0,14.0,3356.0,1314.0,2621.0,0.0,,225.0,0.0,,155.0,0.0,,1106.0,0.0,,298.0,0.0,,0.0,4796.0,1812.0,1150.0,0.0,143.0,633.0,370.0,1.0,298.0,5.0,1627.0,127.0,1172.0,49.0,870.0,87.0,65.0,1.0
2022-10-01 12:15:00+02:00,444.0,176.0,,,,,,,7089.0,3902.0,25983.0,,,,,,,,,12690.0,2549.0,,,,,,,,,857.0,13.0,,,,,,,,,,,,,,,,,,3470.0,1329.0,2671.0,,,,,,,,,,,,,,,,,,,,,632.0,373.0,,,,,,,,,,,
2022-10-01 12:30:00+02:00,412.0,180.0,,,,,,,7223.0,3981.0,25862.0,,,,,,,,,12773.0,2576.0,,,,,,,,,853.0,13.0,,,,,,,,,,,,,,,,,,3584.0,1344.0,2725.0,,,,,,,,,,,,,,,,,,,,,631.0,376.0,,,,,,,,,,,
2022-10-01 12:45:00+02:00,380.0,188.0,,,,,,,7299.0,4058.0,25756.0,,,,,,,,,12837.0,2607.0,,,,,,,,,843.0,12.0,,,,,,,,,,,,,,,,,,3699.0,1359.0,2775.0,,,,,,,,,,,,,,,,,,,,,628.0,378.0,,,,,,,,,,,
2022-10-01 13:00:00+02:00,348.0,192.0,2246.0,1967.0,1007.0,459.0,51.0,470.0,7355.0,4145.0,25641.0,316.0,738.0,791.0,41.0,252.0,320.0,121.0,29.0,12910.0,2643.0,122.0,439.0,5553.0,9443.0,2381.0,949.0,39.0,296.0,829.0,12.0,164.0,69.0,698.0,37.0,1520.0,678.0,2770.0,9.0,552.0,660.0,434.0,254.0,1308.0,686.0,74.0,46.0,13.0,3813.0,1375.0,2830.0,0.0,,217.0,0.0,,189.0,0.0,,976.0,0.0,,297.0,0.0,,0.0,4010.0,2154.0,1204.0,0.0,157.0,567.0,598.0,1.0,327.0,4.0,1557.0,121.0,1190.0,38.0,844.0,93.0,60.0,1.0
2022-10-01 13:15:00+02:00,320.0,196.0,,,,,,,7403.0,4248.0,25509.0,,,,,,,,,12943.0,2676.0,,,,,,,,,810.0,11.0,,,,,,,,,,,,,,,,,,3851.0,1388.0,2884.0,,,,,,,,,,,,,,,,,,,,,565.0,601.0,,,,,,,,,,,
2022-10-01 13:30:00+02:00,300.0,204.0,,,,,,,7407.0,4355.0,25360.0,,,,,,,,,12965.0,2706.0,,,,,,,,,787.0,11.0,,,,,,,,,,,,,,,,,,3888.0,1399.0,2935.0,,,,,,,,,,,,,,,,,,,,,560.0,605.0,,,,,,,,,,,
